h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate
420010301011000,93,20,49,24,32,29,32,0,0,1,6,7,5,17,7,1,3,2,6,0,12,4,8,1,3,5,5,92,1,0,0,0,0,90,3,7,23,25,18,56,37,20130521
420010301011001,434,120,222,92,123,133,178,1,1,4,23,32,32,78,37,14,22,7,31,13,33,23,29,3,28,8,15,412,7,1,9,0,5,431,3,19,111,89,95,251,183,20130521
420010301011002,223,50,124,49,59,72,92,2,2,1,16,19,18,45,14,4,5,1,14,4,9,10,27,0,15,9,8,211,11,0,1,0,0,222,1,15,55,45,58,126,97,20130521
420010301011003,93,28,51,14,27,31,35,1,0,0,3,10,4,14,5,1,3,0,8,0,9,8,11,1,9,3,3,89,0,2,0,0,2,80,13,4,14,28,19,56,37,20130521
420010301011004,9,3,4,2,1,5,3,0,0,0,0,2,0,0,3,0,1,0,1,0,0,0,1,0,1,0,0,9,0,0,0,0,0,9,0,0,4,0,2,4,5,20130521
420010301011005,13,3,7,3,4,3,6,1,0,0,0,1,0,2,0,0,1,0,2,1,0,2,2,1,0,0,0,10,2,0,0,0,1,12,1,0,2,6,2,4,9,20130521
420010301011006,6,3,3,0,3,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,6,0,0,2,1,0,2,4,20130521
420010301011008,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,20130521
420010301011009,12,4,7,1,5,2,5,0,0,0,2,1,1,0,1,0,0,0,2,0,0,1,1,0,3,0,0,12,0,0,0,0,0,12,0,1,3,2,2,7,5,20130521
420010301011010,35,7,21,7,6,8,21,0,0,0,4,6,1,5,5,1,0,0,1,1,0,3,4,0,3,1,0,34,0,0,1,0,0,35,0,0,11,12,5,20,15,20130521
420010301011011,4,1,2,1,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,1,1,0,4,0,20130521
420010301011012,9,5,2,2,4,4,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,9,0,0,0,0,0,7,2,0,2,0,2,3,6,20130521
420010301011013,24,3,15,6,3,10,11,2,0,0,3,5,0,1,1,0,0,0,1,1,0,1,3,1,3,1,1,24,0,0,0,0,0,22,2,2,9,6,4,16,8,20130521
420010301011016,24,3,17,4,4,11,9,2,0,0,3,2,2,2,0,0,1,0,0,1,0,6,4,0,0,1,0,24,0,0,0,0,0,24,0,1,8,5,7,13,11,20130521
420010301011017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,20130521
420010301011018,21,3,14,4,6,6,9,1,0,0,2,6,2,1,0,0,0,0,1,0,0,6,1,0,0,1,0,21,0,0,0,0,0,21,0,3,7,4,4,11,10,20130521
420010301011021,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,2,0,2,20130521
420010301011024,11,3,5,3,5,4,2,0,0,0,1,1,0,2,0,0,1,0,0,0,0,2,2,0,2,0,0,11,0,0,0,0,0,11,0,2,2,4,0,5,6,20130521
420010301011026,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,1,1,20130521
420010301011027,3,2,1,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,2,1,20130521
420010301011028,16,3,11,2,4,6,6,0,0,0,0,3,0,1,1,0,1,0,0,0,0,3,2,1,1,2,1,16,0,0,0,0,0,15,1,1,2,4,6,7,9,20130521
420010301011029,22,11,10,1,7,7,8,1,0,0,3,3,0,2,0,0,1,0,2,0,3,1,1,0,4,0,1,22,0,0,0,0,0,21,1,1,4,4,2,15,7,20130521
420010301011030,3,0,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,1,1,0,1,3,0,20130521
420010301011031,10,2,7,1,1,7,2,0,0,0,1,1,1,3,0,0,0,0,0,0,0,2,0,0,2,0,0,10,0,0,0,0,0,9,1,0,3,3,2,4,6,20130521
420010301011032,2,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,1,20130521
