Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2013-09-01 00:00:00,1,79.00,79.00,79.00,69.10,,,72.00,4.60,1010.8,220.00,4.60,
2013-09-01 01:00:00,1,78.10,78.10,78.10,69.10,,,74.00,6.90,1010.8,210.00,6.90,
2013-09-01 02:00:00,1,77.00,77.00,77.00,69.10,,,77.00,8.10,1011.2,210.00,8.10,
2013-09-01 03:00:00,2,75.55,75.90,75.20,69.45,,,81.00,0.00,1011.2,0.00,0.00,
2013-09-01 04:00:00,1,75.00,75.00,75.00,69.10,,,82.00,5.80,1011.2,220.00,5.80,
2013-09-01 05:00:00,1,73.00,73.00,73.00,69.10,,,87.00,4.60,1010.5,230.00,4.60,
2013-09-01 06:00:00,1,72.00,72.00,72.00,69.10,,,91.00,4.60,1009.8,230.00,4.60,
2013-09-01 07:00:00,1,71.10,71.10,71.10,68.00,,,90.00,4.60,1010.2,260.00,4.60,
2013-09-01 08:00:00,1,72.00,72.00,72.00,68.00,,,87.00,4.60,1009.8,190.00,4.60,
2013-09-01 09:00:00,2,71.35,71.60,71.10,68.00,,,89.50,0.00,1010.4,0.00,0.00,
2013-09-01 10:00:00,2,71.35,71.60,71.10,68.00,,,89.50,0.00,1010.6,0.00,0.00,
2013-09-01 11:00:00,1,71.10,71.10,71.10,68.00,,,90.00,0.00,1011.2,0.00,0.00,
2013-09-01 12:00:00,1,71.10,71.10,71.10,69.10,0.01,,94.00,5.80,1011.2,190.00,5.80,
2013-09-01 13:00:00,1,72.00,72.00,72.00,69.10,,,91.00,4.60,1011.2,170.00,4.60,
2013-09-01 14:00:00,1,72.00,72.00,72.00,69.10,,,91.00,5.80,1011.2,210.00,5.80,
2013-09-01 15:00:00,1,73.00,73.00,73.00,69.10,,,87.00,4.60,1011.5,200.00,4.60,
2013-09-01 16:00:00,1,73.90,73.90,73.90,69.10,,,85.00,6.90,1011.2,200.00,6.90,
2013-09-01 17:00:00,2,74.20,75.00,73.40,69.45,,,85.50,5.20,1011.0,190.00,5.80,
2013-09-01 18:00:00,2,74.55,75.20,73.90,69.45,0.00,,84.00,7.50,1011.0,180.00,8.10,
2013-09-01 19:00:00,1,75.00,75.00,75.00,68.00,0.00,,79.00,5.80,1010.2,200.00,5.80,
2013-09-01 20:00:00,1,75.90,75.90,75.90,69.10,,,79.00,5.80,1009.8,170.00,5.80,
2013-09-01 21:00:00,1,79.00,79.00,79.00,68.00,,,69.00,5.80,1009.5,190.00,5.80,
2013-09-01 22:00:00,1,79.00,79.00,79.00,68.00,,,69.00,4.60,1009.1,190.00,4.60,
2013-09-01 23:00:00,1,77.00,77.00,77.00,68.00,,,74.00,0.00,1009.1,0.00,0.00,
2013-09-02 00:00:00,1,73.90,73.90,73.90,68.00,,,82.00,3.50,1009.8,190.00,3.50,
2013-09-02 01:00:00,1,73.90,73.90,73.90,68.00,,,82.00,4.60,1010.5,210.00,4.60,
2013-09-02 02:00:00,1,73.90,73.90,73.90,66.00,,,76.00,4.60,1010.5,210.00,4.60,
2013-09-02 03:00:00,1,70.00,70.00,70.00,66.00,,,87.00,3.50,1010.2,170.00,3.50,
2013-09-02 04:00:00,1,71.10,71.10,71.10,66.00,,,84.00,3.50,1010.2,210.00,3.50,
2013-09-02 05:00:00,1,71.10,71.10,71.10,66.00,,,84.00,4.60,1009.5,210.00,4.60,
2013-09-02 06:00:00,1,69.10,69.10,69.10,66.00,,,90.00,0.00,1009.5,0.00,0.00,
2013-09-02 07:00:00,1,69.10,69.10,69.10,66.00,,,90.00,0.00,1009.5,0.00,0.00,
2013-09-02 08:00:00,1,71.10,71.10,71.10,66.90,,,87.00,5.80,1009.5,220.00,5.80,
2013-09-02 09:00:00,1,70.00,70.00,70.00,66.90,,,90.00,0.00,1009.1,0.00,0.00,
2013-09-02 10:00:00,1,70.00,70.00,70.00,66.90,,,90.00,0.00,1009.8,0.00,0.00,
2013-09-02 11:00:00,1,70.00,70.00,70.00,66.90,,,90.00,4.60,1010.2,230.00,4.60,
2013-09-02 12:00:00,2,71.35,71.60,71.10,67.10,,,86.50,6.90,1010.2,240.00,6.90,
2013-09-02 13:00:00,1,73.00,73.00,73.00,68.00,,,84.00,6.90,1010.5,230.00,6.90,
2013-09-02 14:00:00,1,75.00,75.00,75.00,68.00,,,79.00,6.90,1010.5,240.00,6.90,
